index,Release,Tag,Name,Blend participant,Wanda,Description,Valid numeric range,Scale interpretation,Recommended ‘normal’ value,Suggested programmatic interactions,Suggested user interactions,Demo,Written,Edited,Glyph,Video Complete,Delivered DC,Mantra flag tag
11,Yes,shdw,Shadow depth,vrot,treatment,values for the depth of a shadow,Values must be in the range 1 to 1000,Values can be interpreted as per-mille-of-em,Sample value for Sans 60 point shadow would be 30,"Applications allow the user to select the drop shadow treatment for text, raising need for a value for every instance in a design space that affects a shadow","Users may choose to program a variant in connection to direct or conjunctive input for a page description language, or via a user interface",Yes,Yes,,,,,Treatment
12,Yes,refl,Reflect,vrot,treatment,value for a y reflection,Values must be in the range -1 to -1000,"Values can be interpreted as per-mille-of-em
",sample value for a reflection would be -350,Applications may allow the user to select the reflection of text. ,"Users may choose to program a variant in connection to direct or conjunctive input for a page description language, or via a user interface",No,Yes,,,,,Treatment
13,Yes,otln,Outline value,opsz,treatment,values for the weight of an outlined font,Values must be in the range 1 to 1000,Values can be interpreted as per-mille-of-em,default is 0,Applications may allow the user to select the embossing of text and a depth if the axis exists.,"Users may choose to program a variant in connection to direct or conjunctive input for a page description language, or via a user interface",Yes,Yes,,,,,Treatment
14,Yes,engr,Engraving value,opsz wght,treatment,values for the width of the engrave,Values must be in the range 1 to 1000,Values can be interpreted as per-mille-of-em,Sample value for a Sans regular Latin engraving would be 33,"Applications may allow the user to select the embossing of text, and a depth if the axis exists","Users may choose to program a variant in connection to direct or conjunctive input for a page description language, or be given the option via a user interface",No,Yes,,,,,Treatment
15,Yes,embo,emboss depth,opsz wght,treatment,values for embossment depth,Values must be in the range 1 to 1000,Values can be interpreted as per-mille-of-em,Sample value for Sans 60 point emboss would be 24,"Applications may allow the user to select the embossing of text, and a depth if the axis exists. ","Users may choose to program a variant in connection to direct or conjunctive input for a page description language, or be given the option via a user interface",No,Yes,,,,,Treatment
16,Yes,ytch,y transparent Chinese,xtch,interscript,values represent the height of Chinese glyphs,Values must be in the range 1 to 2400,"Values can be interpreted as per-mille-of-em changes, between any instances in the axis",Sample value 950,"Applications may choose to select a variant in connection to an input for more or less ytch, or it might be programmatically used",User may chose a variant to modify the width of the type,Yes,No,,,,,none
17,Yes,xtch,x transparent Chinese,ytch,interscript,values represent the width of Chinese glyphs,Values must be in the range 1 to 8000,"Values can be interpreted as per-mille-of-em changes, between any instances in the axis",Sample value 950,"Applications may choose to select a variant in connection to an input for more or less xtch, or it might be programmatically used",User may chose a variant to modify the height of the type,Yes,No,,,,,none
18,Yes,rxad,relative x advance,ryad vrot,,assigns a distance value per mille to the motion of a glyph,Values must be in the range -1000 to 1000,Values can be interpreted as per-mille-of-em,none,Applications may enable plotting the number of loops of an animation required for the time and distance defined by the user.,Users may choose different speeds and distances traveled by an animation,Yes,Yes,,🚴,X,,Treatment
19,Yes,ryad,relative y advance,rxad vrot,,assigns a distance value per mille to the motion of a glyph,Values must be in the range  -1000 to 1000,Values can be interpreted as per-mille-of-em,none,Applications may enable plotting the number of loops of an animation required for the time and distance defined by the user,Users may choose different speeds and distances traveled by an animation,Yes,Yes,,🦎,X,,Treatment
20,Yes,rsec,relative second,rxad vrot ryad,,"axis contains a relative second value for one, or each glyph on that axis",Values must be in the range 001- 60.00,Value can be interpreted as a recommendation for one second of animation time,1,"Applications may plot the relative time of a glyph, or a glyph to other glyphs, and play them in relative or absolute time","Users may choose realistic, or other speeds for an animation",Yes,Yes,,1,X,,Treatment
21,Yes,vrot,glyph rotation axis,rxad ryad rsec,,assigns a value to each instance of the axis,Values must be in the range -360.00 to 360.00,"Values can be interpreted as degrees of rotation from the default, which is zero",Default fonts should be set at 0 degrees,"Applications may choose to select a variant in connection to an input for ccw or cw vrot, or it might be programmatically used.","Users may choose to program a variant for direct input, or via a user interface connection. ",Yes,Yes,,,,,none
22,Yes,vuid,Unicode variation axis,none,,instances represent changes to the glyph’s Unicode Id,Any Unicode value can be used,Values can be interpreted as glyph locations,Any common Unicode value,Applications may choose to present a variation in connection to an input Unicode id,"Users may choose to input a character to a page description language, and the unicode presented is a variant in connection to other input",Yes,Yes,Yes,🌝🏵 ,X,,none
23,Yes,votf,feature variation axis,opsz,,instances represent changes to a glyph’s feature,Any feature tag can be used.,Values can be interpreted as feature locations,Any common feature,Applications may choose to select a variation in connection to an input feature tag id.,Users may choose to program a feature in connection to input for a page description language.,Yes,Yes,Yes,"figs 1,2,8,9,",X,,none
